                   n                    p                    t                    s
565 146.764049916555 146.765213663105 146.764437832072 
566 146.764051286067 146.765210924076 146.76443783207 
567 146.76405264834 146.765208199527 146.764437832069 
568 146.764054003423 146.765205489356 146.764437832067 
569 146.764055351369 146.765202793461 146.764437832066 
570 146.764056692226 146.765200111742 146.764437832065 
571 146.764058026044 146.765197444101 146.764437832063 
572 146.764059352873 146.765194790438 146.764437832062 
573 146.764060672762 146.765192150657 146.76443783206 
574 146.764061985758 146.765189524661 146.764437832059 
575 146.76406329191 146.765186912353 146.764437832058 
576 146.764064591265 146.76518431364 146.764437832056 
577 146.764065883869 146.765181728426 146.764437832055 
578 146.764067169771 146.765179156619 146.764437832054 
579 146.764068449016 146.765176598126 146.764437832052 
580 146.76406972165 146.765174052855 146.764437832051 
